file,species
12625488b.png,Fat Hen
c832e4302.png,Fat Hen
e82017baa.png,Loose Silky-bent
c10ccbd82.png,Scentless Mayweed
8b27bfd2b.png,Small-flowered Cranesbill
13b9fa92d.png,Sugar beet
d6d80a321.png,Scentless Mayweed
56a01b835.png,Cleavers
2b55a2da2.png,Charlock
ce3d280eb.png,Common Chickweed
26e7ae885.png,Fat Hen
71e73a8a0.png,Sugar beet
5ca0205f9.png,Charlock
a74d475c2.png,Common Chickweed
fd925f542.png,Common Chickweed
a2d25b4f3.png,Small-flowered Cranesbill
d515398fd.png,Loose Silky-bent
36839d5e9.png,Scentless Mayweed
060f1dc84.png,Shepherds Purse
b026bf8ca.png,Loose Silky-bent
35a90f8d0.png,Scentless Mayweed
8b9144917.png,Small-flowered Cranesbill
a254d71f6.png,Black-grass
19618ad6a.png,Sugar beet
8b043093d.png,Small-flowered Cranesbill
22e79540f.png,Cleavers
f4234cf4f.png,Fat Hen
cbba27d89.png,Maize
1459e96a0.png,Cleavers
91e469b4a.png,Charlock
df7cb5f87.png,Common Chickweed
ef9676433.png,Charlock
20ea96bcc.png,Fat Hen
65489944f.png,Shepherds Purse
0c45ace27.png,Common Chickweed
43ede9de9.png,Charlock
172f9b10b.png,Common Chickweed
35cf9fa01.png,Shepherds Purse
e901b0f28.png,Fat Hen
d0152bd7c.png,Fat Hen
99569b224.png,Common wheat
e98e5d1d5.png,Black-grass
f445fe6fb.png,Charlock
406ecb5c5.png,Charlock
32b42c120.png,Small-flowered Cranesbill
a85b48a95.png,Scentless Mayweed
9cce7328c.png,Loose Silky-bent
a0f37c726.png,Small-flowered Cranesbill
08d591441.png,Sugar beet
59e1cea8d.png,Cleavers
90d119d25.png,Scentless Mayweed
d8f4923f8.png,Common Chickweed
54b3afd58.png,Cleavers
78750e0ff.png,Charlock
bf3924a57.png,Common Chickweed
97b2f0a10.png,Small-flowered Cranesbill
534e74d83.png,Maize
0885e7690.png,Scentless Mayweed
ec08a5d56.png,Small-flowered Cranesbill
f351ce097.png,Loose Silky-bent
e5881dd33.png,Fat Hen
444473900.png,Fat Hen
003d61042.png,Fat Hen
808cf55c6.png,Shepherds Purse
711b46fba.png,Shepherds Purse
d0cdc768f.png,Common wheat
52dc7a4d6.png,Common Chickweed
122913909.png,Maize
b4f7c9214.png,Black-grass
fadc6adbc.png,Charlock
7b52585da.png,Loose Silky-bent
cf3a8b2fd.png,Loose Silky-bent
ac75d3326.png,Loose Silky-bent
e52493d0b.png,Common wheat
20f983a71.png,Fat Hen
d668409ff.png,Black-grass
59b2c6f2b.png,Common Chickweed
97844bfd5.png,Shepherds Purse
eec1079a1.png,Charlock
866be78b0.png,Common Chickweed
d3331e071.png,Fat Hen
fa5fd1384.png,Shepherds Purse
969a851be.png,Scentless Mayweed
780bd2a2c.png,Sugar beet
54c8bb900.png,Charlock
0ad9e7dfb.png,Sugar beet
25cf6eb73.png,Maize
ef65533d5.png,Loose Silky-bent
34dd57ca9.png,Loose Silky-bent
cb76a7766.png,Fat Hen
099b961ec.png,Shepherds Purse
ba3ce6b3e.png,Scentless Mayweed
391dcd7fd.png,Black-grass
24a058589.png,Charlock
c60e91e07.png,Loose Silky-bent
a060c1cf8.png,Maize
6b9d6f8c9.png,Sugar beet
afcf6abd5.png,Small-flowered Cranesbill
a1da8be3c.png,Maize
eaf0815e2.png,Small-flowered Cranesbill
8e2e5604e.png,Sugar beet
b2706e2b3.png,Common wheat
523e5505c.png,Fat Hen
0c5f6c493.png,Loose Silky-bent
6db684fff.png,Scentless Mayweed
56112b92c.png,Small-flowered Cranesbill
8cf909eb3.png,Charlock
8874bba69.png,Loose Silky-bent
b1cd2a91e.png,Cleavers
37c3108d6.png,Shepherds Purse
b7ad92859.png,Shepherds Purse
7f9e9565d.png,Scentless Mayweed
93d76fd5d.png,Small-flowered Cranesbill
d41d87796.png,Scentless Mayweed
3827436f3.png,Common Chickweed
a8b431a3e.png,Sugar beet
16fd2e01a.png,Small-flowered Cranesbill
2f0004a7f.png,Common wheat
b5c7fd009.png,Black-grass
e9d48d664.png,Shepherds Purse
f85ed9b6d.png,Shepherds Purse
b98327bf4.png,Scentless Mayweed
33748968f.png,Cleavers
c5e88cd42.png,Common Chickweed
205df1df3.png,Fat Hen
78b1bf91a.png,Sugar beet
a9d2eab61.png,Black-grass
279df95f2.png,Sugar beet
f25996db8.png,Small-flowered Cranesbill
7a38416be.png,Charlock
e783f5a4f.png,Sugar beet
0ee4ad224.png,Scentless Mayweed
429211ee6.png,Fat Hen
a93f940d6.png,Scentless Mayweed
5883b423d.png,Scentless Mayweed
cf46d09c5.png,Common Chickweed
fea355851.png,Loose Silky-bent
e19673dc9.png,Charlock
dabea05f4.png,Loose Silky-bent
d09275360.png,Sugar beet
fea3da57c.png,Sugar beet
3281183f9.png,Scentless Mayweed
99036c51d.png,Loose Silky-bent
9d79a1f0c.png,Small-flowered Cranesbill
32a8c8a1d.png,Loose Silky-bent
1926e82fd.png,Loose Silky-bent
0c27cf05f.png,Loose Silky-bent
177d7e2a4.png,Common Chickweed
0437393b1.png,Fat Hen
862b8e7a0.png,Sugar beet
e15472085.png,Common Chickweed
4c5ab9b68.png,Cleavers
ce42adffb.png,Loose Silky-bent
b39c71707.png,Maize
67ce3eaa6.png,Small-flowered Cranesbill
0caeda5df.png,Common wheat
fd253a74e.png,Cleavers
270b939cf.png,Common Chickweed
35ebe165c.png,Loose Silky-bent
1694a70e4.png,Scentless Mayweed
fe9e87b78.png,Scentless Mayweed
b47691c08.png,Scentless Mayweed
59f62ad1d.png,Black-grass
